Publication,Authors,Journal,Year
Analysis of Crystallinity Index and Hydrolysis Rates in the Bioenergy Crop Sorghum bicolor ," JP Vandenbrink, RN Hilten, KC Das, AH Paterson, FA Feltus "," Bioenergy research 5, 387-397",2012
Genomes for jeans: cotton genomics for engineering superior fiber ," S Mansoor, AH Paterson "," Trends in biotechnology 30 (10), 521-527",2012
"Genome of papaya, a fast growing tropical fruit tree "," R Ming, Q Yu, PH Moore, RE Paull, NJ Chen, ML Wang, YJ Zhu, ... "," Tree genetics & genomes 8, 445-462",2012
Changes in nonstructural protein 3 are associated with attenuation in avian coronavirus infectious bronchitis virus ," JE Phillips, MW Jackwood, ET McKinley, SW Thor, DA Hilt, ND Acevedol, ... "," Virus genes 44, 63-74",2012
Changes in nonstructural protein 3 are associated with attenuation in avian coronavirus infectious bronchitis virus ," JE Phillips, MW Jackwood, ET McKinley, SW Thor, DA Hilt, ND Acevedol, ... "," Virus genes 44, 63-74",2012
Association analysis of photoperiodic flowering time genes in west and central African sorghum [Sorghum bicolor (L.) Moench] ," SU Bhosale, B Stich, HFW Rattunde, E Weltzien, BIG Haussmann, ... "," BMC plant biology 12, 1-10",2012
Association analysis of photoperiodic flowering time genes in west and central African sorghum [Sorghum bicolor (L.) Moench] ," SU Bhosale, B Stich, HFW Rattunde, E Weltzien, BIG Haussmann, ... "," BMC plant biology 12, 1-10",2012
Ancient and recent polyploidy in monocots ," AH Paterson, X Wang, J Li, H Tang "," Polyploidy and genome evolution, 93-108",2012
Mapping and validation of fiber strength quantitative trait loci on chromosome 24 in upland cotton ," P Kumar, R Singh, EL Lubbers, X Shen, AH Paterson, BT Campbell, ... "," Crop science 52 (3), 1115-1122",2012
Genomics of the Saccharinae , AH Paterson , Springer Science & Business Media,2012
Synteny and genomic rearrangements ," AH Paterson, X Wang, H Tang, TH Lee "," Plant Genome Diversity Volume 1: Plant Genomes, their Residents, and their …",2012
Methods and constructs for producing transgenic plants and methods of recovering expressed proteins ," TE Mirkov, JP Monclin, A Barrilleaux, JE Irvine, F Moonan "," US Patent 8,252,552",2012
"Types, levels and patterns of low-copy DNA sequence divergence, and phylogenetic implications, for Gossypium genome types "," J Rong, X Wang, SR Schulze, RO Compton, TD Williams-Coplin, V Goff, ... "," Heredity 108 (5), 500-506",2012
Cotton genetic resources. A review ," M Iqbal, A Paterson "," Agronomy for Sustainable Development 32 (2), 419-432",2012
Genomics and breeding in food crops ," A Brown, A Paterson, L Li "," Book Chapter, 141-162",2012
"Genetics And Genomics Of Saccharinae (Plant Genetics And Genomics: Crops And Models) Author: Andrew H. Paterson, Publishe ", AH Paterson , Springer,2012
A draft sequence of the simplest Gossypium (cotton) genome. , A Paterson ," USDOE Joint Genome Institute (JGI), Berkeley, CA (United States)",2012
Variable effect of a fiber length QTL deployed within several regionally adapted cultivars ," N Brown, P Kumar, E Lubbers, B Campbell, D Jones, G Myers, ... ", National Cotton Council Beltwide Cotton Conference,2012
7 Genomics and Breeding ," A Brown, AH Paterson, L Li "," OMICs Technologies: Tools for Food Science, 141",2012
"Seventy Million Years of Concerted Evolution of a Homoeologous Chromosome Pair, in Parallel in Major Poaceae Lineages ", A Paterson ," Plant and Animal Genome XX Conference (January 14-18, 2012)",2012
"Matita, a new retroelement from peanut "," S Nielen, BS Vidigal, SCM Leal-Bertioli, MB Ratnaparkhe, AH Paterson, ... ", Molecular genetics and genomics 287 (1),2012
Genome of the long-living sacred lotus (Nelumbo nucifera Gaertn.) ," R Ming, R VanBuren, Y Liu, M Yang, Y Han, LT Li, Q Zhang, MJ Kim, ... "," Genome biology 14 (5), 1-11",2013
Draft genome sequence of the mulberry tree Morus notabilis ," N He, C Zhang, X Qi, S Zhao, Y Tao, G Yang, TH Lee, X Wang, Q Cai, D Li, ... "," Nature communications 4 (1), 2445",2013
MCScanX-transposed: detecting transposed gene duplications based on multiple colinearity scans ," Y Wang, J Li, AH Paterson "," Bioinformatics 29 (11), 1458-1460",2013
"Sugarcane: the crop, the plant, and domestication "," PH Moore, AH Paterson, T Tew "," Sugarcane: physiology, biochemistry, and functional biology, 1-17",2013
Seed shattering in a wild sorghum is conferred by a locus unrelated to domestication ," H Tang, HE Cuevas, S Das, UU Sezen, C Zhou, H Guo, VH Goff, Z Ge, ... "," Proceedings of the National Academy of Sciences 110 (39), 15824-15829",2013
Different patterns of gene structure divergence following gene duplication in Arabidopsis ," Y Wang, X Tan, AH Paterson "," BMC genomics 14 (1), 1-9",2013
Gene body methylation shows distinct patterns associated with different gene origins and duplication modes and has a heterogeneous relationship with gene expression in Oryza … ," Y Wang, X Wang, TH Lee, S Mansoor, AH Paterson "," New Phytologist 198 (1), 274-283",2013
The Gene Pool of Saccharum Species and Their Improvement ," AH Paterson, PH Moore, TL Tew "," Genomics of the Saccharinae, 43-71",2013
The Gene Pool of Saccharum Species and Their Improvement ," AH Paterson, PH Moore, TL Tew "," Genomics of the Saccharinae, 43-71",2013
Genetic Analysis of Recombinant Inbred Lines for Sorghum bicolor × Sorghum propinquum ," W Kong, H Jin, CD Franks, C Kim, R Bandopadhyay, MK Rana, ... ", G3: Genes,2013
Function relaxation followed by diversifying selection after whole-genome duplication in flowering plants ," H Guo, TH Lee, X Wang, AH Paterson "," Plant Physiology 162 (2), 769-778",2013
A Whole-Genome DNA Marker Map for Cotton Based on the D-Genome Sequence of Gossypium raimondii L. ," Z Wang, D Zhang, X Wang, X Tan, H Guo, AH Paterson "," G3: Genes, Genomes, Genetics 3 (10), 1759-1767",2013
Biofuel and energy crops: high-yield Saccharinae take center stage in the post-genomics era ," S de Siqueira Ferreira, MY Nishiyama, AH Paterson, GM Souza "," Genome biology 14, 1-12",2013
The repetitive component of the A genome of peanut (Arachis hypogaea) and its role in remodelling intergenic sequence space since its evolutionary divergence … ," DJ Bertioli, B Vidigal, S Nielen, MB Ratnaparkhe, TH Lee, ... "," Annals of botany 112 (3), 545-559",2013
"CSGRqtl, a comparative quantitative trait locus database for Saccharinae grasses "," D Zhang, H Guo, C Kim, TH Lee, J Li, J Robertson, X Wang, Z Wang, ... "," Plant physiology 161 (2), 594-599",2013
"Three genetic systems controlling growth, development and productivity of rice (Oryza sativa L.): a reevaluation of the ‘Green Revolution’ "," F Zhang, YZ Jiang, SB Yu, J Ali, AH Paterson, GS Khush, JL Xu, YM Gao, ... "," Theoretical and applied genetics 126, 1011-1024",2013
"Three genetic systems controlling growth, development and productivity of rice (Oryza sativa L.): a reevaluation of the ‘Green Revolution’ "," F Zhang, YZ Jiang, SB Yu, J Ali, AH Paterson, GS Khush, JL Xu, YM Gao, ... "," Theoretical and applied genetics 126, 1011-1024",2013
"A genome-wide BAC end-sequence survey of sugarcane elucidates genome composition, and identifies BACs covering much of the euchromatin "," C Kim, TH Lee, RO Compton, JS Robertson, GJ Pierce, AH Paterson "," Plant molecular biology 81, 139-147",2013
Identification of bioconversion quantitative trait loci in the interspecific cross Sorghum bicolor × Sorghum propinquum ," JP Vandenbrink, V Goff, H Jin, W Kong, AH Paterson, F Alex Feltus "," Theoretical and applied genetics 126, 2367-2380",2013
Tissue specific analysis of bioconversion traits in the bioenergy grass Sorghum bicolor ," JP Vandenbrink, RE Hammonds, RN Hilten, KC Das, JM Henson, ... "," Industrial Crops and Products 50, 118-130",2013
Quantitative models of hydrolysis conversion efficiency and biomass crystallinity index for plant breeding ," JP Vandenbrink, RN Hilten, KC Das, AH Paterson, F Alex Feltus "," Plant Breeding 132 (3), 252-258",2013
Comparative genomic analysis of C4 photosynthesis pathway evolution in grasses ," X Wang, AH Paterson "," Genomics of the Saccharinae, 447-477",2013
Outcome of repeat surgery for genital prolapse using prolift-mesh ," I A Yakasai, LA Bappa, A Paterson "," Annals of Surgical Innovation and Research 7 (1), 1-3",2013
A proposal to use gamete cycling in vitro to improve crops and livestock ," SC Murray, P Eckhoff, L Wood, AH Paterson "," Nature Biotechnology 31 (10), 877-880",2013
Bridging classical and molecular genetics of sorghum plant stature and maturity ," PJ Brown, AH Paterson "," Genomics of the Saccharinae, 333-345",2013
The sorghum genome sequence: A core resource for Saccharinae genomics , AH Paterson ," Genomics of the Saccharinae, 105-119",2013
Genomes of herbaceous land plants , A Paterson , Elsevier,2013
Sorghum Grain Shattering Gene and Uses Thereof in Altering Seed Dispersal ," A Paterson, H Tang "," US Patent App. 13/664,063",2013
Cot-based sampling of genomes for polymorphic low-copy DNA ," J Rong, JS Robertson, SR Schulze, AH Paterson "," Molecular breeding 32, 977-980",2013
Genome Sequencing and Comparative Genomics in Cereals ," XY Wang, AH Paterson "," Cereal Genomics II, 101-126",2013
Comparative genomics of grasses: a saccharinae-centric view ," AH Paterson, X Wang, H Tang, C Kim "," Genomics of the Saccharinae, 429-445",2013
14. Molecular genetic map of cotton , AH PATERSON ," DNA-Based Markers in Plants 6, 239",2013
Genomic Strategies and Tools for Developing Climate Resilient Crops: Sorghum as a Model , AH Paterson , Plant and Animal Genome XXI Conference,2013
The smallest Gossypium genome as a reference for the genus , AH Paterson , Plant and Animal Genome XXI Conference,2013
A genetic map between Gossypium hirsutum and the Brazilian endemic G. ," B Wang, L Liu, D Zhang, Z Zhuang, H Guo, X Qiao, L Wei, J Rong, ... ", ,2013
Genetic Analysis of Recombinant Inbred Lines ," W Kong, H Jin, CD Franks, C Kim, R Bandopadhyay, MK Rana, VH Goff, ... ", ,2013
Nelumbo nucifera [data set] ," R Ming, R Vanburen, Y Liu, M Yang, Y Han, L Li, Q Zhang, MJ Kim, ... ", ,2013
Synthesis: Fundamental Insights and Practical Applications from the Saccharinae Clade , AH Paterson ," Genomics of the Saccharinae, 541-549",2013
Early allopolyploid evolution in the post-Neolithic Brassica napus oilseed genome ," B Chalhoub, F Denoeud, S Liu, IAP Parkin, H Tang, X Wang, J Chiquet, ... "," science 345 (6199), 950-953",2014
The Brassica oleracea genome reveals the asymmetrical evolution of polyploid genomes ," S Liu, Y Liu, X Yang, C Tong, D Edwards, IAP Parkin, M Zhao, J Ma, J Yu, ... "," Nature communications 5 (1), 3930",2014
Transcriptome and methylome profiling reveals relics of genome dominance in the mesopolyploid Brassica oleracea ," IAP Parkin, C Koh, H Tang, SJ Robinson, S Kagale, WE Clarke, CD Town, ... "," Genome biology 15 (6), 1-18",2014
SNPhylo: a pipeline to construct a phylogenetic tree from huge SNP data ," TH Lee, H Guo, X Wang, C Kim, AH Paterson "," BMC genomics 15, 1-6",2014
Integrated syntenic and phylogenomic analyses reveal an ancient genome duplication in monocots ," Y Jiao, J Li, H Tang, AH Paterson "," The Plant Cell 26 (7), 2792-2802",2014
Building the sugarcane genome for biotechnology and identifying evolutionary trends ," N De Setta, CB Monteiro-Vitorello, CJ Metcalfe, GMQ Cruz, LE Del Bem, ... "," BMC genomics 15 (1), 1-18",2014
Polyploidy-associated genome modifications during land plant evolution ," Y Jiao, AH Paterson ", Philosophical Transactions of the Royal Society B: Biological Sciences 369 …,2014
Ancient Gene Duplicates in Gossypium (Cotton) Exhibit Near-Complete Expression Divergence ," S Renny-Byfield, JP Gallagher, CE Grover, E Szadkowski, JT Page, ... "," Genome biology and evolution 6 (3), 559-571",2014
Comparative Analysis of Miscanthus and Saccharum Reveals a Shared Whole-Genome Duplication but Different Evolutionary Fates ," C Kim, X Wang, TH Lee, K Jakob, GJ Lee, AH Paterson "," The Plant Cell 26 (6), 2420-2429",2014
"Extensive and Biased Intergenomic Nonreciprocal DNA Exchanges Shaped a Nascent Polyploid Genome, Gossypium (Cotton) "," H Guo, X Wang, H Gundlach, KFX Mayer, DG Peterson, BE Scheffler, ... "," Genetics 197 (4), 1153-1163",2014
Introgression of homeologous quantitative trait loci (QTLs) for resistance to the root-knot nematode [Meloidogyne arenaria (Neal) Chitwood] in an advanced backcross-QTL … ," MD Burow, JL Starr, CH Park, CE Simpson, AH Paterson "," Molecular Breeding 34, 393-406",2014
Identifying QTL for fiber quality traits with three upland cotton (Gossypium hirsutum L.) populations ," Q Shao, F Zhang, S Tang, Y Liu, X Fang, D Liu, D Liu, J Zhang, Z Teng, ... "," Euphytica 198, 43-58",2014
Genetic analysis of vegetative branching in sorghum ," W Kong, H Guo, VH Goff, TH Lee, C Kim, AH Paterson "," Theoretical and Applied Genetics 127, 2387-2403",2014
Alleles conferring improved fiber quality from EMS mutagenesis of elite cotton genotypes ," JD Patel, RJ Wright, D Auld, R Chandnani, VH Goff, J Ingles, GJ Pierce, ... "," Theoretical and applied genetics 127, 821-830",2014
Alleles conferring improved fiber quality from EMS mutagenesis of elite cotton genotypes ," JD Patel, RJ Wright, D Auld, R Chandnani, VH Goff, J Ingles, GJ Pierce, ... "," Theoretical and applied genetics 127, 821-830",2014
"Sequencing of transcriptomes from two Miscanthus species reveals functional specificity in rhizomes, and clarifies evolutionary relationships "," C Kim, TH Lee, H Guo, SJ Chung, AH Paterson, DS Kim, GJ Lee "," BMC plant biology 14 (1), 1-10",2014
Comparative and evolutionary analysis of major peanut allergen gene families ," MB Ratnaparkhe, TH Lee, X Tan, X Wang, J Li, C Kim, LK Rainville, ... "," Genome Biology and Evolution 6 (9), 2468-2488",2014
Linking isoconversional pyrolysis kinetics to compositional characteristics for multiple Sorghum bicolor genotypes ," R Hilten, JP Vandenbrink, AH Paterson, FA Feltus, KC Das "," Thermochimica Acta 577, 46-52",2014
MULtiPLe-hArVest sorghUMs toWArd iMProVed food secUritY ," AH Paterson, TS Cox, W Kong, M Navarro "," Perennial CroPs for food seCurity, 90",2014
Insights into the common ancestor of eudicots ," J Li, H Tang, JE Bowers, R Ming, AH Paterson "," Advances in Botanical Research 69, 137-174",2014
Accelerating the domestication of Miscanthus for biofuel production , AH Paterson ," Univ. of Georgia, Athens, GA (United States)",2014
Sorghum Maturity Gene and Uses Thereof in Modulating Photoperiod Sensitivity ," AH Paterson, H Tang, HE Cuevas "," US Patent App. 14/075,844",2014
Plant Genome Evolution and Duplication: Current Knowledge and Perspectives. , AH Paterson , Plant and Animal Genome XXII Conference,2014
Harnessing Sorghum Diversity to Advance Food Security , AH Paterson , Plant and Animal Genome XXII Conference,2014
Applying the Reference Genome to Cotton Breeding , AH Paterson , Plant and Animal Genome XXII Conference,2014
Polyploidy-associated genome modifications during land plant ," Y Jiao, AH Paterson ", ,2014
A Backdrop: Principles of Plant Genome Organization , AH Paterson ," Advances in Botanical Research 69, 1-11",2014
"Synthetic Haplotypes, Species, Karyotypes, and Protoorganisms? ", AH Paterson ," Advances in Botanical Research 69, 363-376",2014
Acknowledgement to Reviewers of Genes in 2013 ," S Afelik, G Aguileta, R Araki, SJ Benkovic, MD Benson, JH Bergmann, ... ", ,2014
The pineapple genome and the evolution of CAM photosynthesis ," R Ming, R VanBuren, CM Wai, H Tang, MC Schatz, JE Bowers, E Lyons, ... "," Nature genetics 47 (12), 1435-1442",2015
Application of genomics-assisted breeding for generation of climate resilient crops: progress and prospects ," C Kole, M Muthamilarasan, R Henry, D Edwards, R Sharma, M Abberton, ... "," Frontiers in plant science 6, 563",2015
Genome alignment spanning major Poaceae lineages reveals heterogeneous evolutionary rates and alters inferred dates for key evolutionary events ," X Wang, J Wang, D Jin, H Guo, TH Lee, T Liu, AH Paterson "," Molecular plant 8 (6), 885-898",2015
Construction of genetic map and QTL analysis of fiber quality traits for Upland cotton (Gossypium hirsutum L.) ," S Tang, Z Teng, T Zhai, X Fang, F Liu, D Liu, J Zhang, D Liu, S Wang, ... "," Euphytica 201, 195-213",2015
Genetic analysis of inflorescence and plant height components in sorghum (Panicoidae) and comparative genetics with rice (Oryzoidae) ," D Zhang, W Kong, J Robertson, VH Goff, E Epps, A Kerr, G Mills, ... "," BMC plant biology 15 (1), 1-15",2015
Genetic map and QTL controlling fiber quality traits in upland cotton (Gossypium hirsutum L.) ," Z Tan, X Fang, S Tang, J Zhang, D Liu, Z Teng, L Li, H Ni, F Zheng, D Liu, ... "," Euphytica 203, 615-628",2015
Telomere‐centric genome repatterning determines recurring chromosome number reductions during the evolution of eukaryotes ," X Wang, D Jin, Z Wang, H Guo, L Zhang, L Wang, J Li, AH Paterson "," New Phytologist 205 (1), 378-389",2015
Comparative genetics of seed size traits in divergent cereal lineages represented by sorghum (Panicoidae) and rice (Oryzoidae) ," D Zhang, J Li, RO Compton, J Robertson, VH Goff, E Epps, W Kong, ... "," G3: Genes, Genomes, Genetics 5 (6), 1117-1128",2015
The hairless stem phenotype of cotton (Gossypium barbadense) is linked to a copia-like retrotransposon insertion in a homeodomain-leucine zipper gene (HD1) ," M Ding, W Ye, L Lin, S He, X Du, A Chen, Y Cao, Y Qin, F Yang, Y Jiang, ... "," Genetics 201 (1), 143-154",2015
Estimating genetic diversity among selected cotton genotypes and the identificationof DNA markers associated with resistance to cotton leaf curl disease ," A Abbas, MA Iqbal, M Rahman, AH Paterson "," Turkish Journal of Botany 39 (6), 1033-1041",2015
Genetic analysis of rhizomatousness and its relationship with vegetative branching of recombinant inbred lines of Sorghum bicolor × S. propinquum ," W Kong, C Kim, VH Goff, D Zhang, AH Paterson "," American Journal of Botany 102 (5), 718-724",2015
Unraveling the fabric of polyploidy ," AH Paterson, JF Wendel "," Nature Biotechnology 33 (5), 491-493",2015
Comparative Analysis of Gene Conversion Between Duplicated Regions in Brassica rapa and B. oleracea Genomes ," J Wang, H Guo, D Jin, X Wang, AH Paterson "," The Brassica rapa Genome, 121-129",2015
The hairless stem phenotype of cotton (G. barbadense) is linked to a copia-like retrotransposon insertion in homeodomainleucine zipper gene (HD1) ," MQ Ding, WW Ye, LF Lin, S He, XM Du, AQ Chen, YF Cao, Y Qin, Y Fen, ... ", Genet,2015
Response to: Perennial Questions of Hydrology and Climate ," JD Glover, JP Reganold, LW Bell, J Borevitz, EC Brummer, ES Buckler, ... ", The Australian National University,2015
QUANTITATIVE MODELS OF HYDROLYSIS CONVERSION EFFICIENCY AND BIOMASS ," JP Vandenbrink, RN Hilten, KC Das, AH Paterson, FA Feltus ", CHARACTERIZATION OF SORGHUM BICOLOR GENOTYPES AND THEIR POTENTIAL FOR …,2015
TISSUE SPECIFIC ANALYSIS OF HYDROLYSIS RELATED TRAITS AND PRETREATMENT EFFICACY IN ," JP Vandenbrink, RN Hilten, KC Das, AH Paterson, FA Feltus ", CHARACTERIZATION OF SORGHUM BICOLOR GENOTYPES AND THEIR POTENTIAL FOR …,2015
Concerted Evolution of Subgenomes in Polyploids , AH Paterson , Plant and Animal Genome XXIII Conference,2015
The pangenome of an agronomically important crop plant Brassica oleracea ," AA Golicz, PE Bayer, GC Barker, PP Edger, HR Kim, PA Martinez, ... "," Nature communications 7 (1), 13390",2016
Global agricultural intensification during climate change: a role for genomics ," M Abberton, J Batley, A Bentley, J Bryant, H Cai, J Cockram, ... "," Plant biotechnology journal 14 (4), 1095-1098",2016
"Draft genome of the peanut A-genome progenitor (Arachis duranensis) provides insights into geocarpy, oil biosynthesis, and allergens "," X Chen, H Li, MK Pandey, Q Yang, X Wang, V Garg, H Li, X Chi, ... "," Proceedings of the National Academy of Sciences 113 (24), 6785-6790",2016
Application of genotyping by sequencing technology to a variety of crop breeding programs ," C Kim, H Guo, W Kong, R Chandnani, LS Shuang, AH Paterson "," Plant Science 242, 14-22",2016
An integrated approach to maintaining cereal productivity under climate change ," MP Reynolds, E Quilligan, PK Aggarwal, KC Bansal, AJ Cavalieri, ... "," Global Food Security 8, 9-18",2016
High throughput phenotyping of cotton plant height using depth images under field conditions ," Y Jiang, C Li, AH Paterson "," Computers and Electronics in Agriculture 130, 57-68",2016
The Genome of a Southern Hemisphere Seagrass Species (Zostera muelleri) ," HT Lee, AA Golicz, PE Bayer, Y Jiao, H Tang, AH Paterson, G Sablok, ... "," Plant physiology 172 (1), 272-283",2016
Analysis of the complete mitochondrial genome sequence of the diploid cotton Gossypium raimondii by comparative genomics approaches ," C Bi, AH Paterson, X Wang, Y Xu, D Wu, Y Qu, A Jiang, Q Ye, N Ye ", BioMed Research International 2016,2016
Comparative genomic de‐convolution of the cotton genome revealed a decaploid ancestor and widespread chromosomal fractionation ," X Wang, H Guo, J Wang, T Lei, T Liu, Z Wang, Y Li, TH Lee, J Li, H Tang, ... "," New Phytologist 209 (3), 1252-1263",2016
"The evolution of photoperiod-insensitive flowering in sorghum, a genomic model for panicoid grasses "," HE Cuevas, C Zhou, H Tang, PP Khadke, S Das, YR Lin, Z Ge, ... "," Molecular Biology and Evolution 33 (9), 2417-2428",2016
Identification of putative candidate genes for red rot resistance in sugarcane (Saccharum species hybrid) using LD-based association mapping ," RK Singh, N Banerjee, MS Khan, S Yadav, S Kumar, SK Duttamajumder, ... "," Molecular Genetics and Genomics 291, 1363-1377",2016
"Multi-Phase US Spread and Habitat Switching of a Post-Columbian Invasive, Sorghum halepense "," UU Sezen, JN Barney, DZ Atwater, GA Pederson, JF Pederson, ... "," PLoS One 11 (10), e0164584",2016
A Genetic Map Between Gossypium hirsutum and the Brazilian Endemic G. mustelinum and Its Application to QTL Mapping ," B Wang, L Liu, D Zhang, Z Zhuang, H Guo, X Qiao, L Wei, J Rong, ... "," G3: Genes, Genomes, Genetics 6 (6), 1673-1685",2016
Large-scale gene relocations following an ancient genome triplication associated with the diversification of core eudicots ," Y Wang, SP Ficklin, X Wang, FA Feltus, AH Paterson "," PLoS One 11 (5), e0155637",2016
Fine mapping and identification of candidate genes for a QTL affecting Meloidogyne incognita reproduction in Upland cotton ," P Kumar, Y He, R Singh, RF Davis, H Guo, AH Paterson, DG Peterson, ... "," BMC genomics 17, 1-12",2016
"Reconstructing changes in the genotype, phenotype, and climatic niche of an introduced species "," DZ Atwater, UU Sezen, V Goff, W Kong, AH Paterson, JN Barney "," Ecography 39 (9), 894-903",2016
Comparative transmission genetics of introgressed chromatin in Gossypium (cotton) polyploids ," VN Waghmare, J Rong, CJ Rogers, JE Bowers, PW Chee, JR Gannaway, ... "," American journal of botany 103 (4), 719-729",2016
EMS-mutated cotton populations suggest overlapping genetic control of trichome and lint fiber variation ," JD Patel, RJ Wright, R Chandnani, VH Goff, J Ingles, AH Paterson "," Euphytica 208, 597-608",2016
Advanced Backcross Quantitative Trait Locus Analysis of Fiber Elongation in a Cross between Gossypium hirsutum and G. mustelinum ," B Wang, X Draye, Z Zhang, Z Zhuang, OL May, AH Paterson, PW Chee "," Crop Science 56 (4), 1760-1768",2016
An imaging-based system for high-throughput phenotyping of cotton plants under field conditions ," Y Jiang, C Li, AH Paterson, JS Robertson "," 2016 ASABE Annual International Meeting, 1",2016
Two Paleo-Hexaploidies Underlie Formation of Modern Solanaceae Genome Structure ," J Li, H Tang, X Wang, AH Paterson "," The Tomato Genome, 201-216",2016
Roadmap of Genomics Research in the 21st Century , AH Paterson ," Principles and Practices of Plant Genomics, Volume 3, 607-618",2016
"Plant Physiology Preview. Published on July 3, 2016, as DOI: 10.1104/pp. 16.00868 "," HT Lee, AA Golicz, PE Bayer, Y Jiao, H Tang, AH Paterson, G Sablok, ... ", ,2016
The Genome of a Southern Hemisphere Seagrass ," HT Lee, AA Golicz, PE Bayer, Y Jiao, H Tang, AH Paterson, G Sablok, ... ", ,2016
"The evolution of photoperiod-insensitive flowering in sorghum, a genomic model for panicoid grasses. "," YL Das, Z Ge, T Clemente, HD Upadhyaya, CT Hash, AH Paterson ", ,2016
Measuring Cotton Plant Height Using High Resolution Aerial Images ," R Xu, Y Jiang, C Li, A Paterson "," 2016 ASABE Annual International Meeting, 1",2016
Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments ," RK Varshney, C Shi, M Thudi, C Mariac, J Wallace, P Qi, H Zhang, Y Zhao, ... "," Nature biotechnology 35 (10), 969-976",2017
In-field high-throughput phenotyping of cotton plant height using LiDAR ," S Sun, C Li, AH Paterson "," Remote Sensing 9 (4), 377",2017
Hierarchically aligning 10 legume genomes establishes a family-level genomics platform ," J Wang, P Sun, Y Li, Y Liu, J Yu, X Ma, S Sun, N Yang, R Xia, T Lei, X Liu, ... "," Plant Physiology 174 (1), 284-300",2017
Genetic and transcriptomic analyses of lignin- and lodging-related traits in Brassica napus ," L Wei, H Jian, K Lu, N Yin, J Wang, X Duan, W Li, L Liu, X Xu, R Wang, ... "," Theoretical and Applied Genetics 130, 1961-1973",2017
Plant genome duplication database ," TH Lee, J Kim, JS Robertson, AH Paterson "," Plant Genomics Databases: Methods and Protocols, 267-277",2017
QTL analysis of cotton fiber length in advanced backcross populations derived from a cross between Gossypium hirsutum and G. mustelinum ," B Wang, X Draye, Z Zhuang, Z Zhang, M Liu, EL Lubbers, D Jones, ... "," Theoretical and Applied Genetics 130, 1297-1308",2017
"Fine mapping and candidate gene analysis of qFL-chr1, a fiber length QTL in cotton "," P Xu, J Gao, Z Cao, PW Chee, Q Guo, Z Xu, AH Paterson, X Zhang, ... "," Theoretical and Applied Genetics 130, 1309-1319",2017
Advanced Backcross QTL Analysis of Fiber Strength and Fineness in a Cross between Gossypium hirsutum and G. mustelinum ," B Wang, Z Zhuang, Z Zhang, X Draye, LS Shuang, T Shehzad, ... "," Frontiers in plant science 8, 1848",2017
Identification and Characterization of miRNA Transcriptome in Asiatic Cotton (Gossypium arboreum) Using High Throughput Sequencing ," M Farooq, S Mansoor, H Guo, I Amin, PW Chee, MK Azim, AH Paterson "," Frontiers in Plant Science 8, 969",2017
Comparative genetic variation of fiber quality traits in reciprocal advanced backcross populations ," R Chandnani, Z Zhang, JD Patel, J Adhikari, S Khanal, D He, N Brown, ... "," Euphytica 213, 1-9",2017
"SSR-enriched genetic linkage maps of bermudagrass (Cynodon dactylon × transvaalensis), and their comparison with allied plant genomes "," S Khanal, C Kim, SA Auckland, LK Rainville, J Adhikari, BM Schwartz, ... "," Theoretical and applied genetics 130, 819-839",2017
Cross-taxon application of sugarcane EST-SSR to genetic diversity analysis of bermudagrass (Cynodon spp.) ," S Khanal, BM Schwartz, C Kim, J Adhikari, LK Rainville, SA Auckland, ... "," Genetic Resources and Crop Evolution 64, 2059-2070",2017
Segregation distortion and genome-wide digenic interactions affect transmission of introgressed chromatin from wild cotton species ," R Chandnani, B Wang, X Draye, LK Rainville, S Auckland, Z Zhuang, ... "," Theoretical and Applied Genetics 130, 2219-2230",2017
"Genome-wide divergence, haplotype distribution and population demographic histories for Gossypium hirsutum and Gossypium barbadense as revealed by … "," UK Reddy, P Nimmakayala, VL Abburi, C Reddy, T Saminathan, ... "," Scientific Reports 7 (1), 41285",2017
Targeted identification of association between cotton fiber quality traits and microsatellite markers ," J Adhikari, S Das, Z Wang, S Khanal, R Chandnani, JD Patel, VH Goff, ... "," Euphytica 213, 1-15",2017
Keen insights from quinoa ," AH Paterson, AL Kolata "," Nature 542 (7641), 300-302",2017
Cotton flower detection using aerial color images ," R Xu, A Paterson, C Li "," 2017 ASABE Annual International Meeting, 1",2017
Perenniality-Potential and challenges for future sustainable crop production , A Paterson ," Proceedings of the Korean Society of Crop Science Conference, 11-11",2017
CSGRqtl: A Comparative Quantitative Trait Locus Database for Saccharinae Grasses ," D Zhang, AH Paterson "," Plant Genomics Databases: Methods and Protocols, 257-266",2017
Allele-defined genome of the autopolyploid sugarcane Saccharum spontaneum L. ," J Zhang, X Zhang, H Tang, Q Zhang, X Hua, X Ma, F Zhu, T Jones, X Zhu, ... "," Nature genetics 50 (11), 1565-1573",2018
Genome and evolution of the shade‐requiring medicinal herb Panax ginseng ," NH Kim, M Jayakodi, SC Lee, BS Choi, W Jang, J Lee, HH Kim, ... "," Plant Biotechnology Journal 16 (11), 1904-1917",2018
In-field high throughput phenotyping and cotton plant growth analysis using LiDAR ," S Sun, C Li, AH Paterson, Y Jiang, R Xu, JS Robertson, JL Snider, ... "," Frontiers in Plant Science 9, 16",2018
Aerial images and convolutional neural network for cotton bloom detection ," R Xu, C Li, AH Paterson, Y Jiang, S Sun, JS Robertson "," Frontiers in plant science 8, 2235",2018
